"Name","BirthDate"
"Jodoc Alwin","16.11.1969"
"Hushang Naigamwala","25.08.1991"
"Zhen Wei","16.11.1975"
"Noe Tae-Woong","11.07.1970"
"Didier Cuvillier","24.04.1938"
"El Bachir al-Aziz","24.01.1999"
"Garikoitz Oguiza","27.05.1970"
"Magyar Flórián","29.12.1962"
"Eufebio Mascioli","11.06.1921"
"Aline Rush","04.09.1916"
"Lamija Osmond","11.04.1926"
"Étienne Chaney","04.09.1983"
"Ewelina Musial","01.12.1962"
"Yang Xun","13.04.1992"
"Gavrilo Dzenopoljac","21.07.1927"
"Tang Xia","28.04.1989"
"Mifune Nampo","18.10.1926"
"Mamuka Tercero","14.09.1912"
"Juba Kunimatsu","31.07.1929"
